Text	Complexity Score
Megan Hart's inspiration to write was an expansion on which earlier short story?	0.19
Manchester United won the match 2–1 with goals from which English professional footballer who plays as a winger for Premier League club Manchester United and the England national team?	0.37
Are Tony Scott and Zhang Yang both film directors?	0.09
Is Psychiatric Institute of Washington or Howard University Hospital older?	0.07
What phenomenon is named after the Phaya Naga and what the Mekhong Full Moon Party film is about?	0.14
In which state was Death Tunnel filmed?	0.09
"Which era was this English writer and social critic active, whose 1843 novel inspired the 1979 American made-for-television fantasy drama film ""An American Christmas Carol""?"	0.35
In which month of 2010 did the bowling competitions at Bolera Caribe end?	0.14
What is the Hawthorne Valley Waldorf School's location within Columbia County?	0.09
Harvard Business Review and Seed are both what kind of literature?	0.12
"On what date was the album containing ""Unforgettable"" released?"	0.12
Ratonero Bodeguero Andaluz and Mudhol Hound are both what?	0.09
The film Non è mai Passato was co-written by what former race care driver?	0.19
Do Trevor Horn and Keith Relf both play harmonica?	0.12
"The score that Sara Bareilles wrote for the Broadway musical ""Waitress"" only included music written specifically for what?"	0.3
Which was formed first, James or Big Audio Dynamite?	0.12
Which movie came out first, Flubber or Finding Dory?	0.14
"The song ""Karmic Wheel"" contains audio samples from the suicide of the 30th Treasurer of Pennsylvania who shot himself with what kind of revolver?"	0.33
What genre does The Boxing Mirror and Heart have in common?	0.14
What 65-room estate closed in 1946?	0.09
In which Pakistani village is the Kot Mul Chand railway station?	0.12
Britannia Hotels includes what company that operates holiday parks in the UK?	0.19
Behram Kurşunoğlu was a Turkish physicist who hosted several Nobel Prize Laueates including an American physicist who pineerd the stufy of electron scatter in what?	0.37
What BBC One show has a judge that is born in 1955?	0.16
In 2006 the CEO of InfoSteam Group also founded a sugar daddy dating website in what city?	0.23
What is the name of this village and civil parish in the Isle of Axholme area of England, where Sandtoft is a hamlet?	0.28
What island does Lia Fáil and Hill of Tara have in common?	0.16
Are both Sarah Waters and Lincoln Steffens considered journalists?	0.12
"Which 2 artists released a song titled ""Revolution"", one artist release had 3 different versions, in 1968 and 1969?"	0.3
Kim Dong-won's directorial debut was a film that is a sequel to which 2001 film?	0.19
For what work was the German composer featured in a sample in Jedi Mind Trick's Heavy Metal Kings best known?	0.26
Who was the South African-born Canadian American who won the Automotive Executive of the Year Award in 2010?	0.26
The Grand Victoria Casino Elgin is 50% owned by a subsidiary of a company which acquired Mandalay Resort Group, what percent of CityCenter in Las Vegas does this company own?	0.33
What is the name of a large variety of filled, rolled appetizers or dim sum found in East Asian and Southeast Asian cuisine, similar to Vietnamese Gỏi cuốn?	0.37
In what state did the actor from the comedy film Table for Three grow up?	0.19
Daniel Roth was acquired by a company from what country?	0.09
The 2013 California Golden Bears football team had a head coach who played what sport in college?	0.21
Fritz Goro died in Chappaqua, a hamlet of what town in Westchester County, New York?	0.16
What is the square footage of the shopping mall SEA LIFE Grapevine is located in?	0.19
Who is older, Quentin Tarantino or Barbara Albert?	0.09
Between what two states does the valley the Ojibwe ceded their rights to by the Treaty of Old Crossing form the border?	0.23
Who portrays Will Hunting in Chris Moore's 1997 movie about an unrecognized genius?	0.16
Which dynasty ruled in Milan during the Renaissance period, but later lost the Duchy to the Habsburgs from Spain?	0.21
What is the name of the five-star luxury hotel in Amsterdam that is part of an American multinational hospitality company led by Christopher J. Nassetta?	0.33
What is the phrase describing this rivalry between two American college football teams that was ranked by ESPN in 2000 as the greatest North American sports rivalry?	0.37
"The Ting Tings ""Show Us Yours Tour"" featured what type of music?"	0.19
Who created News Limited and is the name of the Professorship in Language and Communication at Worcester College, University of Oxford?	0.23
Are Against Me! and Scanners both punk rock bands?	0.12
In what year was the star of Searching for the Elephant star Jo?	0.14
Both cities of Karamay and Yima, Henan are located in which country?	0.14
What is the song that Mike Einzinger cowrote and Avicii performed?	0.16
What role did Kunie Tanaka play in a film entered into the 11th Berlin International Film Festival?	0.16
Lusty Juventus is an example of an Entr'acte, more commonly known in French today as what?	0.21
What is the nationality of lightweight female kickboxer Annalisa Bucci?	0.14
Xokonoschtletl Gómora pushed for hte return of what artifact taken during hte Spanish Conquest of the Aztecs?	0.16
What subjects did Antoine Rodolphe Chevallier teach The Virgin Queen?	0.09
Who is in the entertainment industry, Raffi Indjejikian or Rouben Mamoulian?	0.14
Along what road is the 16th-century castle built by the Burnetts of Leys is located?	0.21
Isaac de Forcade de Biaix was a Knight of the Order of an order established in what year?	0.14
Little Caesars and Pizza Hut were founded in the 1950s within a year of each other. Which was the first to serve pizza?	0.16
"Which branch of the Norwegian Armed Forces had the first multi-vessel class of destroyers known as the ""Draug"" built for them?"	0.28
Are both Buster Bloodvessel and Adam Lazzara singers for the band Bad Manners?	0.12
When was the solid body electric guitar introduced on which the Gibson Robot Guitar was based?	0.23
Kaiser Permanente was founded by an industrialist who became known as the father of what?	0.16
The Australian pop singer Lee Harding is from what outer-suburb of Melbourne in Victoria, Australia?	0.23
How many runs did the cricketer,who was suspened on 10 February, score in his ODI debut?	0.26
Were Peter Grimes and Rusalka written by the asme person?	0.12
Are Skittle Bomb and Painkiller both made with energy drinks?	0.12
The multi-purpose indoor arena that seats 16,514 patrons is located in the second largest what?	0.26
Who is the song that mentions William Batty credited to?	0.14
What year did the war during which Pompiliu Ștefu was executed end?	0.16
What actress born in Larne, County Antrim in 1917 appeared in a 1934 film adaptation of Badger's Green?	0.23
With which royal house is the Queen consort of Germany, by her marriage with the king of the Salian dynasty, associated with, that was a ruling royal house in Middle Age Scandinavia and England?	0.4
The Police Integrity Commission is responsible for the prevention, detection, and investigation of alleged serious misconduct in what primary law enforcement agency of the state of New South Wales, Australia that is Divided into seventy six local area command?	0.44
"What was the category of music of the singer who died in 1989 and had a single named ""Turn Me to Love""?"	0.3
What country borders India and Biophytum umbraculum can also be found?	0.16
Where did the man who executed the Emperor Atahualpa to conquer the Inca Empire originate from?	0.19
Where is the shopping mall which Northwest Mall opened along side with located?	0.21
Which science fiction trilogy has in the lead role an actress who had a voice role in the 3D film Peter Rabbit?	0.33
In the same NBA Draft where Kwame Brown was the first high school player to be drafted with the first overall pick, Ear Joesph was drafted the Supersonics, what draft was that?	0.4
Oui Can Luv is the latest studio album by a singer-songwriter of what nationality?	0.16
Are Mamostong Kangri and Saser Kangri both located in India?	0.12
Which beer is now produced by AB Inbev and was popularly known as The Cream of Manchester?	0.19
The great-great-grandfather of current head of the House of Hohenzollern held what official title?	0.23
The Imperial Arcade opened in 1891 on the site now occupied by a shopping centre operated by what company?	0.23
"Springfield, Missouri is known as the ""birthplace"" of which original highway in the US Highway System?"	0.19
"In what year was the person who wrote the lyrics for ""Chaar Kadam"" born?"	0.19
Did Peter Hooton and Floor Jansen found the band The Farm together?	0.14
"What is MV ""Sygna"" located north of the Hunter river in New South Wales, australia?"	0.19
Peter Hugh Pocklington is an advocate of an economic system that is free from intervention by which party?	0.19
Is At the Drive-In or Black Stone Cherry from further north?	0.14
"""War Song"" is a 1971 song by Graham Nash and what former member of Buffalo Springfield?"	0.14
Finn the Human / Jake the Dog are the first two episodes of the animated series that was storyboarded by the creator of what other series?	0.3
What nationality is the man who wrote the foreword for Rogue Leaders: The Story of LucasArts?	0.16
Were Emeric Pressburger and Richard C. Sarafian in the same industry?	0.12
In what country did the 327th Infantry Regiment have their most famous military engagement?	0.21
Who was born 33 years before Pia Getty?	0.09
What midfielder is captain of the US men's soccer team and joined Toronto FC for the 2014 season?	0.19
What magazine voted an athlete who got her start with The East St. Louis Railers Track Club the Greatest Female Athlete of All-Time?	0.26
How many passengers were on the flight that the Russian Union of Engineers published a paper on?	0.23
"The Spies Who Surf played with what surf rock guitarist also known as ""The King of the Surf Guitar""?"	0.28
Watching the Detectives is the number 354 song for what cover story of a special issue of Rolling Stone in 2004?	0.26
What type of encounter does The Beastmaster and Sword and sorcery have in common?	0.19
American Music Club and The Kills are both American only indie rock bands?	0.19
"Name an organization to which Gene Autry's collaborator on ""Here Comes Santa Clause"" belongs.?"	0.21
Who is the contemporary of Ralph Richardson that performed in plays by N.C. Hunter?	0.16
What bridge in Pittsburgh was the bridge named after the man who served as the elected President of Germany from 1925 until 1934 a design influence on?	0.33
What was Mark Christopher a cast in that was a 1997 American science fiction action film directed by John Woo?	0.26
Oddone of Savoy's mother was the Queen of what nation?	0.12
"Which book, which is described by the author on its cover as a ""thumping good detective-ghost-horror-who dunnit-time travel-romantic-musical-comedy-epic, was turned into a comic science fiction television series called Dirk Gently?"	0.63
Is the Indian politician Uma Bharti's political party left-leaning or right-leaning?	0.21
Who wrote hello, goodbye and i am the walrus?	0.14
With little outside influence, the Pashtun culture is used mostly in what type of areas?	0.19
What date did an ABC network television film starring Calvin Jung air?	0.16
"The show ""O"" at the Bellagio is located in what city?"	0.12
Which act is from Japan, L'Arc-en-Ciel or Lorde?	0.14
"What regular guest of ""7 Day Sunday"" also worked extensively with John Oliver on ""Political Animal"", ""The Department"", and ""The Bugle""?"	0.23
Are both Dodecatheon and Bloomeria native to North America?	0.09
Invincible is based on the story of which Philadelphia Eagles player?	0.12
What kind of group does Vertical Horizon and Against the Current have in common?	0.16
Based on these paragraphs, which band has more members, Empire Circus, or Maroon 5?	0.19
What occupation did George Gershwin and Jacques Offenbach share?	0.09
Which documentary provides a more in depth look at a specific moment in time, That's Dancing! or The Reflektor Tapes?	0.26
What character played by Gary Dubin in a 1978 American thriller film directed by Jeannot Szwarc?	0.19
The 3rd IAAF World Athletics Final was held at a stadium that serves primarily as the home stadium of which teams?	0.23
During which period was Altes Lager an important Viking trading post?	0.16
Which has more people: Kuytun or Qitaihe?	0.14
Where did the Washington Redskins quarterback who suffered concussion during the second 2015 preseason game play his college football?	0.28
What county is the school that Keiki Kawaiʻaeʻa received a BA in Hawaiian Studies from in?	0.14
Which Nassau County hamlet is home to the sister school of Singwango Secondary School?	0.12
Greg Cumbel is a broadcaster on NFL for CBS alongside which former American football quarterback?	0.19
What is the real name of Alex Andreas's potrayal on satge of The Big Bopper?	0.16
Among others, what type of 2-seater sports car does Datuk Wira Lee Chong Wei own with quattro permanent all-wheel drive system?	0.3
What does the name of Motoi Oyama's company stand for?	0.14
Who has been in more music groups Tom Petty or Saffron?	0.16
A Cool, Dry Place stars an American actress who is known for Con Air and what 1998 movie?	0.23
What is the 2012 population of the county in which Jersey Park Farm is located?	0.14
"""You Can Close Your Eyes"" was covered by which artist born in 1974?"	0.19
Who owns the retired Grand National-winning National Hunt racehorse trained by Donald McCain, Jr. in a civil parish north east of Malpas and west of Nantwich?	0.35
Linnar Viik is a member of an Advisory Board of a bank headquartered in what country?	0.14
Who was born first, Amir Naderi or Guillermo del Toro?	0.12
Denzel Curry was born in a suburb of what larger Florida city?	0.12
The Japanese military officer Kenji Hatanaka conspired to prevent the broadcast of the surrender of this emperor who passed away a few decades later and was succeeded by whom?	0.4
How many miles away is the Polipoli Spring State Recreation Area from the volcano that forms more than 75% of the Hawaiian Island of Maui?	0.33
What is the year of the person who was born first, Simone Cipriani, or Stella McCartney?	0.19
In what borough of Hertfordshire is the Garston Ladies FC located?	0.12
Gopaler Ma in her later years was close to a Scots-Irish social worker and who else?	0.26
In 2014-15 Sevilla competed in a league that began on which day?	0.19
What is the home country of the studios located at Clarendon Road in Borehamwood?	0.16
"Who directed ""In Cold Blood"", a film based on the non-fiction novel by Truman Capote in addition to the film ""Fever Pitch""?"	0.28
David Johnston was replaced as Minister for Defence by which Liberal Party member?	0.14
Lenora Isabella Crichlow starred as Annie Sawyer in a British supernatural comedy-drama series that was created and written by Toby Whithouse for broadcast on what channel?	0.33
What Minnesota Wild draftee was named top defencemen in the 2008 IIHF World Championship rosters?	0.16
"The actor that played Jesus in ""Godspell"" had his first starring tv role in a series that aired on what network?"	0.35
Who created this semi-autobiographical American comedy television series in which Casey Wilson portrays Brooke?	0.28
The actor born as James Bateman performed his final role in Big Stan, a 2007 film directed by whom?	0.28
Are Global Rhythm and Stanford Chaparral both magazines?	0.07
Charles Heidelberger, cancer researcher, developed the drug Fluorouracil (5-FU) which is sold under what name?	0.23
"""Spookyfish"" and ""Mecha-Streisand"" are both episodes in what Comedy Central show?"	0.16
"Which Norwegian cross country skier has more Olympic gold medals, Øystein ""Pølsa"" Pettersen or Petter Northug Jr.?"	0.3
In the 2004 Minnesota Twins season, When was the player who injured his Knee and played only 35 games born?	0.28
Who was a part of the Paris postwar literary movement in the 1950s, Terry Southern or Winston Churchill?	0.21
Which ocean is the Port of Murmansk located next to?	0.09
Some forms of American English spoken in Illinois are from which American English dialect spoken in a geographic band reaching from Central New York westward along the Erie Canal?	0.4
What is the topic of the 2004 documentary released by Canadian filmmakers Naomi Klein and Avi Lewis?	0.19
Emily Woof has acted in which feature film spun off from a British TV comedy series?	0.23
Kwabre West is located in one of how many districts in the Ashanti Region of Ghana?	0.19
What's the commercial name for the fictitious branded world inhabited by superheroes and comicbook characters including Doop, Spider-Man and the X-Men?	0.3
Robert Carter was a member of what team that plays its home games at McCamish Pavilion?	0.21
What film staring Jim Carry did Sasha Alexander act in?	0.14
George Wylie Hutchinson illustrated the works of which English journalist and short-story writer?	0.19
In what year did Brian Cox appear in a film inspired by the limited comic book series of the same name?	0.26
Meji Mwamba contested the 2012 Olympic super heavyweight final with which Azerbaidjani boxer?	0.19
Where does the hockey team based in for which Darrel Scoville played in National Hockey League in addition to Calgary Flames?	0.26
Hanakapiai Beach is located on the coast on which oldest inhabited Hawaiian island?	0.19
Which company, that had Greg McAdoo on their board, was acquired by Google?	0.19
Which is generally smaller, the Old English Sheepdog or the Whippet?	0.12
"The Big Daddy Kane album ""Prince of Darkness"" features guest appearances from Q-Tip and a rapper that has received how many Grammy Award nominations?"	0.35
Who was the train dispatcher who sent a warning message to another passenger train in the December 6, 1917 Halifax maritime disaster?	0.28
The rock band joined by Tru Collins in 2010 has sold approx. how many concert tickets?	0.16
The movie Apollo 13 featured an astronaut that was born in what year?	0.16
In what year did the Austrian case to which the Mongelli case has been compared emerge?	0.16
What on loan Villarreal Striker is known for wearing the Nike Mercurial Vapor?	0.14
Holger Sinding-Larsen was most associated with his work at a fortressed used as what?	0.19
What is the nationality of the person who Space Art opened for in 1981?	0.16
When did the American country music group founded by Stephen Barker Liles, Eric Gunderson, and Brian Bandas release their second studio album?	0.33
The American Nativist criminal street gang who was tried for murder by Henry Stump operated in what city?	0.23
Are Tuberaria and Santolina both plants?	0.05
What is the birthname David Thewlis, one of the stars in The Boy in the Striped Pyjamas, was given when born?	0.23
What sport is represented by Zuffa founded in 2001 by Frank Fertitta III and Lorenzo Fertitta?	0.16
What is another name for the Mediterranean Theater of Operations, United States Army invasion of French North Africa during World War II?	0.19
UWF Heavyweight Championship was a title owned by which WWE Hall of Fame inductee, from 2009?	0.16
Anil Srinivasan is known for his collaborative work with the grandson of which internationally acclaimed flautist?	0.23
"When was the actress who starred in the Broadway Rose production of ""Bye Bye Birdie"" born?"	0.23
Which publication has been published by a greater number of groups, House Beautiful or Smithsonian?	0.16
Where is the Company founded by Edwin Binney based in?	0.14
When is the English singer-songwriter which Liverpool Sound Collage is an ambient electronic album by born?	0.26
While kosher companies Streit's and Manischewitz are both famous matzo competitors, Manischewitz. is also famous for what other product?	0.33
Which aircraft did ace pilot Gordon Arthur Stanley fly from aircraft carriers during World War II?	0.19
What movie did John Barnes Wells star in that was based off a 1952 novel written by Harriet Beecher Stowe?	0.16
Who was born earlier Dario Argento or W. S. Van Dyke?	0.12
"What film by the director of ""You and I"" is about the Khmer Rouge?"	0.14
The inventor of the first thermionic valve made what visual mnemonic tool for generators?	0.21
What was the title held in 2015 by Gennady Golovkin's opponent in the boxing match on HBO pay-per-view at Madison Square Garden on October 17, 2015?	0.28
Which magazine has wider scope of focus, In Touch Weekly or Moment?	0.16
Which anime television series aired 9 October 2016 was adapted by a Japanese animation studio founded by Mikihiro Iwata?	0.26
What additional feature does the AirPort Time Capsule have over the Airport Extreme in the Apple network product line-up?	0.23
Which American singer-songwriter who collaborated with Shel Silverstein had a number one single in 1985?	0.23
"The soundtrack Heat was in the movie ""Heat"" with which actors?"	0.16
Czech dish Svíčková is generally served with these dumplings that are usually made from what?	0.23
Debbie Van Kiekebelt won a gold in the pentathlon in what July 30 to August 13, 1971 sporting event?	0.19
What family of trees is the tree that grows in Alerce Costero National Park?	0.14
What work is the keynote speaker at the Future of Freedom Conference in 1969 known for?	0.14
What is the nickname of this author of the collection of 56 Marathi language songs chronologically describing events from the Indian Hindu epic?	0.26
What comic book did Adrienne Frost's Sister first appear in?	0.16
Which part did James Baller, a British actor play in Our Girl, a British television drama?	0.26
What positions does the most recent recipient of the NBA All-Star Game Most Valuable Player Award play?	0.19
When Robert Quiroga was the International Boxing Federation champion, how much did he weigh?	0.16
When were the Birthday Honours in respect to the King of the United Kingdom made?	0.16
Who has more scope of profession, Martin Fry or Mike Shinoda?	0.16
Which opera was first performed, Don Quichotte or Euridice?	0.12
What year was the person who invests in publicly traded North American corporate debt offerings and equities?	0.26
Between R.E.M. and Disciple which band was formed earlier?	0.12
What is the official designation of the building visible from the Morpeth Arms in a manner enabling spying?	0.21
Who worked with animation producer George Dunning and worked as Eric Porter's animation director?	0.21
Are Gas Huffer and Fastbacks from the same state?	0.12
Palestine is located on the shore of which Sea?	0.12
When was the peace treaty signed based on which Teutonic Knights suffered only minimal territorial losses?	0.3
"What award as won by the director of the 2004 Norwegian drama film who starred a Norwegian actor who also had a supporting role in Ridley Scott's ""The Martian""?"	0.42
Was the namesake of the Ruskin Colony alive when the colony was founded?	0.14
Who starred in a television commercial with Chief Zee and also attended Indiana University?	0.19
"""Photograph"" is a song by Ringo Star released on his album that reached what number on the ""Billboard"" 200?"	0.23
What kind of recorded work does American McGee's Alice and Lewis Carroll have in common?	0.21
At the 2016 Summer Olympics, Marija Ulitina defeated a former world number one, who reached that ranking in what year?	0.23
What was the name given to a series of pre-Christmas toyshop incidents in the United States in 1983?	0.21
US Airways Flight 1549 piloted by Chesley Sullenberger and Jeffrey Skiles struck a flock of geese near this bridge owned by Port Authority of what two states?	0.26
Chronicle of a Death Foretold stars an actress of what nationality?	0.12
What ranking does the man who Jonathan Brookins defeated on December 4, 2010 have in UFC lightweight rankings?	0.26
Which brother of Francisco Rodríguez Araya is known for his ability to deliver pinpoint crosses?	0.16
Gioachino Rossini and Alessandro Scarlatti are both what?	0.09
Which District was the niece of Martin Luther King Jr. the representative for?	0.07
Which rock band perform in an indoor sports arena located in the Near West Side neighborhood of Chicago, Illinois in 2005?	0.26
What job did both Ilse Rosenthal-Schneider and Max Planck have in common?	0.14
Which Sag Harbor Villiage District building is the best example of Egyptian Revival Style in the US today?	0.14
What inventions are credited to the person who has a street named after him that runs East and West through the city of Richmond, Virginia?	0.35
The Curtis Fling School was started by Glenn Curtiss to compete against the flying school of what brothers who made the first controlled, sustained flight of a powered, heavier-than-air aircraft on December 17, 1903?	0.42
The 2015 Oklahoma State Cowboys football team lost to which team in the Sugar Bowl?	0.12
Linda Eder starred in a musical horror drama that got her nominated for what?	0.23
Hitomi Soga married someone formerly what?	0.12
What type of collection does Etarcomol and Medb have in common?	0.16
"The American film director, writer and producer known for ""Kiss Me Deadly"" (1955), ""The Big Knife"" (1955), etc. produced this 1964 American psychological thriller stars whom in her final film role?"	0.49
Which adult animated sitcom created by Aaron McGruder stars comedian and actress Kym Whitley?	0.23
Both Jack Hill and Bernard McEveety are involved in what occupation?	0.12
Who built the first Garden City Hotel that is situated across the street from Garden City Railroad?	0.19
The racehorse Orme was trained by John Porter for a duke born in which year?	0.16
Who purchased a company that was originally founded on September 25, 1928 and know for developing wireless data network technology?	0.3
Who is the Enlglish film director and producer that was born in 1937 that is working on turning John Pearson's novel into a film?	0.33
Milan Sachs conducted the premiere of the play Jenůfa by the composer who was inspired by what types of music?	0.23
"What did Nirvana do differently with ""In Utero"" that caused a documentary to be made about recording the album?"	0.26
Which musician signed to Sire Records in 1987 was featured on the 1990 soundtrack album for the film Dick Tracy?	0.21
Kepler is a novel by an Irish novelist who was born in what year?	0.16
What documentary about the Gilgo Beach Killer debuted on November, 2016 on A&E?	0.14
Which dog breed, Tyrolean Hound or Braque Francais, are from a very old type of gun dog used for pointing the location of game birds for a hunter?	0.35
Jon Kortajarena has modeled for the fashion designer who launched his luxury brand in what year?	0.23
What job do both Ingeborg Bachmann and Jean Toomer have?	0.12
Which community center for the City & County of Honolulu was the 1991 NCAA Men's Volleyball Tournament played at?	0.21
At It Again contains lyrics co-written by the singer and actor from what city?	0.21
Are Landsford Canal and Orleans Canal both located in southern states?	0.16
Which canal is located in Washington D.C, Washington City Canal or Beardsley Canal?	0.09
Which film directed by Yoon Je-Kyoon has been compared to a 1999 American teen sex comedy film?	0.21
What Australian cricketer who retired after the 1948 English cricket season and widely acknowledged as the greatest batsman of all time often referred to?	0.33
On what album was Lonnie Melvin Tillis' song written by Bob Corbin?	0.14
The 2014 MW-V6 Pickup Series season included a dance party hosted by the actor who set a Guinness World Record as the most watched man on TV.?	0.3
Which English model and actress compete with other to find 'the face' of Max Factor?	0.19
The 2001 American science fiction film written by Richard Kelly casted what lead character?	0.21
Are Peter Curtis and Virginia Ruano Pascual the same nationality?	0.12
What is the birthdate of this American politician, poet, and long time Congressman from Minnesota, whose campaign manager was Blair Clark?	0.3
The show that originated in 1963 was originaly produced where?	0.14
What company produced both Follow Me, Boys! and The Finest Hours?	0.09
"In what city did the 2011 direct-to-DVD American martial arts film, starring the actor who played Paul Lahote in ""New Moon"", premiere?"	0.35
Apan Amar Apan was a film that had music composed by which Indian composer?	0.21
Where was the Republic Airline owned by Republic Airways Holdings headquartered?	0.12
What stadium is near both Palau de Gel and Mini Estadi in Barcelona, Catalonia, Spain?	0.19
Where is the mountain in Geogia from which the Appalachian National Scenic Trail started and extended up to Mount Katahdin in Maine?	0.23
How many species are in the plant family that includes the vine Cucumis argenteus?	0.23
Between who was the battle fought in which Eadnoth the younger died?	0.19
Of the two, which has more enrolled students, University of Maryland, College Park, or Pacific Lutheran University?	0.21
In what county is the college that Joseph Hamilton served as the forth head football coach located?	0.23
"This co-presenter of ""Trainspotting Live"" on BBC was born in 1959.?"	0.16
"What is the name of this Irish film and television actor from the film ""A Hard Day's Night"", who also acted in ""Never Say Die""?"	0.35
Hjördis Gunborg Schymberg was what type of operatic soprano voice that specializes in music that is distinguished by agile runs, leaps and trills?	0.3
Which professional tennis player is older, Stan Smith or Elena Likhovtseva?	0.14
What is the Italian translation of the fifth studio album by the Hong Kong-based rock duo formed by Julio Acconci and Dino Acconci?	0.3
Due to concern in regards to the visual appearance of a sacred mountain to Native Hawaiians, the Thirty Meter Telescope has been considered to be built in which alternative site in Spain?	0.3
Who died first Giuseppe Verdi or Paul Hindemith?	0.12
What Academy Award nominee starred in Miracle of the White Stallions?	0.09
Were Gunner Palace and Night Mail releasded in the same year?	0.12
Do U2 3D and The Tree That Remembers include political statements or stances?	0.19
Who was the seven-time World and Olympic medalist killed by John Eleuthere du Pont in January 1996?	0.21
Where are the headquarters of the bank Linnar Viik serves on the board of?	0.16
"In what year was the author of ""The Beauty Myth: How Images of Beauty Are Used Against Women"" born?"	0.23
In The Simpsons episode that debuted the character Snake Jailbird, Homer Simpson does what that embarrasses his wife?	0.28
Are Danny Shirley and Debbie Harry from the same country?	0.12
Jason Hooten is the head coach of the Men's Basketball team at a public institution of higher learning founded in what year?	0.28
La montaña sagrada was directed, written, produced, co-scored, co-edited by and starring the same man who wrote, scored, directed and starred in a film about a violent, black-clad gunfighter and his quest for what?	0.47
Which team plays at the park that American baseball pitcher Marcus Stroman calls his summer home?	0.28
Are both Richard Harding Davis and Ira Levin American writers?	0.09
Are Taylor Hawkins and Tomoko Kawase both actors?	0.09
The flag that was popularized in the Easter rising of 1916, has what three colors in it?	0.21
How high above sea level is Bok Tower Gardens located on Iron Mountain?	0.16
"Who was the skating partner of ""The Ice Panel"" member replaced by Ruthie Henshall?"	0.16
What is the name of this American cuisine which originated in the New England region of the United States, characterized by the use of seafood and dairy products with one popular dish being American chop suey?	0.44
"The 1957 film ""Cat Girl"" was an unofficial remake of a 1942 horror film directed by who?"	0.19
What movie was directed by an Italian director, former senator and distant relative of Leonardo da Vinci?	0.21
Which company released the recordrecord, whose video won Best Female Video at the 2009 MTV Video Music Awards?	0.19
The 2011 Nobel Prize in Physics was partially awarded to which professor of physics from UC-Berkeley?	0.16
Are Corfield v. Coryell and Gonzales v. Carhart both circuit court cases?	0.16
Which film director is older, Gareth Evans or Hans Weingartner?	0.12
What does the name of the city where Estadio Alberto J. Armando is located translate to?	0.19
Who was the second husband of the sister of Ulf Tostesson?	0.12
Who has fought in the most championships, Tim Kennedy or Jason Miller?	0.14
A Life Too Short was a biography about the goalkeeper of what nationality?	0.14
Krishnadasi was a soap opera that had a title track sung by the musician who specializes in what type of music?	0.3
What former NBA star with the Philadelphia 76ers is now the captian and coach of a team in the BIG3?	0.19
Who was born first Mike Judge or Albert S. Rogell?	0.12
The nearest town to Sturt National Park had a population of what in 2011?	0.16
Which village hosts a temple dedicated to one of the principal deities of Hinduism?	0.19
Did Jesus Jones and Franz Ferdinand both play in the 2000s?	0.12
Tchaikovsky featured an actor acclaimed as what?	0.12
White People Renovating Houses was an episode of which animated sitcom, whose 21st season began in 2017?	0.23
Which persons home country, Josh Trank or Jan Troell, is closer to Canada?	0.16
What French author wrote the novel that the 1953 French-Italian film the wages of war was adapted from?	0.26
What was the nickname of the Detroit Tiger who finished #1 in 1915 in the American League in both runs batted in and total bases?	0.28
Nicole Mitchell Murphy was married to the comedian who was a regular cast member on what show?	0.19
Who is a screenwriter from Germany, Stanner E.V. Taylor or Herbert Selpin?	0.09
The Big JAB Middays feature Jim Rome and another whom is known for what?	0.19
What was the nationality of the designer or developed Spacemaster with Kevin Barrett?	0.14
"Which filmmaker is most often identified woth the 1960's French film movement ""La Nouvelle Vague"", Jean-Luc Godard or Frances-Anne Solomon?"	0.28
What book did Price Stern Sloan publish was written by David Berenbaum?	0.12
This motorcycle racer with over 100 race wins was the son of a motorcycle racer who died after what?	0.26
"Named after this president, the soft toy sometimes with the nickname ""Punkinhead""?"	0.16
This Spanish film director is known for directing a mystery action thriller film that was an international co-production among who?	0.3
A famous actor/ writer who was born in 1954 was credited in which American television drama series was that aired in December 7, 2008?	0.35
Uwajimaya had a store from 1968-91 in the shopping mall in what Washington city?	0.19
Where in the park was the 3D science fiction film starring Michael Jackson located?	0.21
Which university is located further north, Lehigh University or North Carolina State University?	0.12
When was the kind of dance that The Jitterbug Stroll was choreographed developed?	0.19
Where were the Commonwealth Youth Games that Clyde Lewis competed in held?	0.12
The 2016 Waco Showdown took place in the county seat of what Texas county?	0.16
"What album released on September 12, 1995, featured the shop 'Coffee Shop""?"	0.14
The New York and Atlantic Railroad interchages in what hamlet and census-designated county of New York?	0.19
What was the population of the city where Woodward Avenue ends in 2010?	0.16
In what city did the Cincinnati Bengals draft Bennie Brazell in 2006?	0.12
SMP F4 Championship is a racing series based on what type of car?	0.14
Torre Catalano and D. W. Griffith were both what?	0.09
"""Good Old Days"" featured which American singer, songwriter and rapper born on March 1, 1987?"	0.16
What was the given birth name of the founder of the band Samantha 7?	0.19
Are tennis players Corina Morariu and Mats Wilander from the same country?	0.19
How many universities does the conference, in which the Middlebury Panthers are included, consist of?	0.21
What did the star of Breaker! Breaker! do after serving in United States Air Force?	0.12
What is the population of the town which Christ Church is in the Dark Harbor district of?	0.14
When was there a new team in the Canandian Football League?	0.12
Which magazine, Ignite Your Faith or Disney Adventures, changed its name more times?	0.23
What nationality was the singer who hand wrote the lyrics shown on the inner sleeve of 39/Smooth?	0.19
Which American journalist born 1893 is known for having an affair with a United Tax Court Judge?	0.19
Are Claude Simon and John Braine both novelists?	0.09
"From where is the artist who made the album containing the single ""Sippy Cup""?"	0.21
Nicky's Family is based on a man who the British dubbed as what?	0.19
